"","RNAi.well","ORF","GeneID","public.name","gene.other.ids","Nonv","Vpep","Simmer"
"10144@G04","GHR-10144@G4","F15B10.3","WBGene00017481",NA,"F15B10.3, CELE_F15B10.3",NA,NA,NA
"10144@G07","GHR-10144@G7","ZC410.5","WBGene00013882",NA,"ZC410.5, CELE_ZC410.5",NA,NA,NA
"10144@G08","GHR-10144@G8","Y37A1B.7","WBGene00012540",NA,"Y37A1B.7, CELE_Y37A1B.7",NA,NA,NA
"10144@G09","GHR-10144@G9","K08E7.8","WBGene00010675",NA,"K08E7.8, CELE_K08E7.8",NA,NA,NA
"10144@G11","GHR-10144@G11","T19E7.1","WBGene00020585","clec-178","T19E7.1, clec-178, CELE_T19E7.1",NA,NA,NA
"10144@H01","GHR-10144@H1","F49E8.6","WBGene00018637",NA,"F49E8.6, CELE_F49E8.6",NA,NA,NA
"10144@H02","GHR-10144@H2","Y73F4A.2","WBGene00013515",NA,"Y73F4A.2, CELE_Y73F4A.2",NA,NA,NA
"10144@H03","GHR-10144@H3","F38A5.7","WBGene00018164","sup-36","F38A5.7, sup-36, CELE_F38A5.7",NA,NA,NA
"10144@H04","GHR-10144@H4","M7.9","WBGene00010885",NA,"M7.9, CELE_M7.9",NA,NA,NA
"10144@H05","GHR-10144@H5","D2096.6","WBGene00017073",NA,"D2096.6, CELE_D2096.6",NA,NA,NA
"10144@H06","GHR-10144@H6","C25G4.3","WBGene00007731",NA,"C25G4.3, CELE_C25G4.3",NA,NA,NA
"10144@H07","GHR-10144@H7","ZK381.5","WBGene00022727","prkl-1","ZK381.5, prkl-1, CELE_ZK381.5",NA,NA,NA
"10144@H10","GHR-10144@H10","W09G12.6","WBGene00021120",NA,"W09G12.6, CELE_W09G12.6",NA,NA,NA
"10144@H11","GHR-10144@H11","C30H6.8","WBGene00007825",NA,"C30H6.8, CELE_C30H6.8",NA,NA,NA
"10154@A01","GHR-10154@A1","ZC416.8","WBGene00000481","cha-1","ZC416.8, cha-1, CELE_cha-1",NA,"Unc, Gro, Sma","Unc, Gro, Sma"
"10154@A03","GHR-10154@A3","F53F1.5","WBGene00009983","cut-2","F53F1.5, cut-2, vmp-2, CELE_F53F1.5",NA,NA,NA
"10154@A05","GHR-10154@A5","F25H5.4","WBGene00001167","eef-2","F25H5.4, eef-2, eft-2, CELE_F25H5.4",NA,NA,NA
"10154@A06","GHR-10154@A6","E02C12.5","WBGene00001665","gpa-3","E02C12.5, gpa-3, CELE_E02C12.5",NA,NA,NA
"10154@A08","GHR-10154@A8","C08A9.1","WBGene00004932","sod-3","C08A9.1, sod-3, MnSOD, CELE_C08A9.1",NA,NA,NA
"10154@A09","GHR-10154@A9","C09G12.8","WBGene00000424","ced-10","C09G12.8, ced-10, rac1, CELE_C09G12.8",NA,NA,NA
"10154@A10","GHR-10154@A10","ZK524.1","WBGene00004958","spe-4","ZK524.1, spe-4, CELE_ZK524.1",NA,NA,NA
"10154@A11","GHR-10154@A11","M176.7","WBGene00002200","kin-16","M176.7, kin-16, CELE_M176.7","w",NA,NA
"10154@B01","GHR-10154@B1","T01G9.6","WBGene00002196","kin-10","T01G9.6, kin-10, kin-5, CELE_T01G9.6",NA,NA,NA
"10154@B02","GHR-10154@B2","ZK1290.3","WBGene00004398","rol-8","ZK1290.3, rol-8, col6, CELE_ZK1290.3",NA,NA,"Rol"
"10154@B03","GHR-10154@B3","C15F1.7","WBGene00004930","sod-1","C15F1.7, sod-1, CELE_C15F1.7",NA,NA,NA
"10154@B04","GHR-10154@B4","F46A9.6","WBGene00003172","mec-8","F46A9.6, mec-8, CELE_F46A9.6",NA,NA,NA
"10154@B08","GHR-10154@B8","B0304.1","WBGene00001948","hlh-1","B0304.1, hlh-1, MyoD1, CELE_B0304.1","Lvl","Unc, Dpy","Lvl, Unc, Dpy"
"10154@B09","GHR-10154@B9","F42A6.7","WBGene00001999","hrp-1","F42A6.7, hrp-1, rbp-1, CELE_F42A6.7",NA,NA,NA
"10154@B10","GHR-10154@B10","B0491.2","WBGene00005016","sqt-1","B0491.2, sqt-1, rol-5, Rol, CELE_B0491.2",NA,NA,"Dpy, Rol"
"10154@B12","GHR-10154@B12","F45B8.4","WBGene00003909","pag-3","F45B8.4, pag-3, CELE_F45B8.4",NA,NA,NA
"10154@C05","GHR-10154@C5","C01F6.4","WBGene00001413","fem-3","C01F6.4, fem-3, CELE_C01F6.4",NA,NA,NA
"10154@C09","GHR-10154@C9","W09B12.1","WBGene00000035","ace-1","W09B12.1, ace-1, ACE1, CELE_W09B12.1",NA,NA,NA
"10154@C10","GHR-10154@C10","T20B12.2","WBGene00006542","tbp-1","T20B12.2, tbp-1, TBP, 3H475, CELE_T20B12.2",NA,NA,NA
"10154@C11","GHR-10154@C11","B0350.2","WBGene00006780","unc-44","B0350.2, unc-44, CELE_B0350.2",NA,"Unc, Sma, Prz","Unc, Sma, Prz"
"10154@D01","GHR-10154@D1","F15H10.1","WBGene00000601","col-12","F15H10.1, col-12, CELE_F15H10.1",NA,NA,NA
"10154@D03","GHR-10154@D3","T07C4.7","WBGene00003225","mev-1","T07C4.7, mev-1, cyt-1, sdhc-1, CELE_T07C4.7","wk Ste","Gro","wk Ste, Gro"
"10154@D06","GHR-10154@D6","C52E4.1","WBGene00000781","cpr-1","C52E4.1, cpr-1, CPROT/1, gcp-1, CELE_C52E4.1",NA,NA,NA
"10154@D10","GHR-10154@D10","B0545.1","WBGene00006599","tpa-1","B0545.1, tpa-1, tpa-1A, tpa-1B, nipi-1, CELE_B0545.1",NA,NA,NA
"10154@E01","GHR-10154@E1","F15H10.2","WBGene00000602","col-13","F15H10.2, col-13, CELE_F15H10.2",NA,NA,NA
"10154@E04","GHR-10154@E4","F46C8.6","WBGene00001069","dpy-7","F46C8.6, dpy-7, CELE_F46C8.6",NA,"Dpy, Rol","Dpy, Rol"
"10154@E05","GHR-10154@E5","T21G5.3","WBGene00001598","glh-1","T21G5.3, glh-1, rhl-2, CELE_T21G5.3",NA,NA,NA
"10154@E06","GHR-10154@E6","F40E10.1","WBGene00001828","hch-1","F40E10.1, hch-1, nas-34, CELE_F40E10.1",NA,NA,NA
"10154@E10","GHR-10154@E10","B0545.1","WBGene00006599","tpa-1","B0545.1, tpa-1, tpa-1A, tpa-1B, nipi-1, CELE_B0545.1",NA,NA,NA
"10154@F01","GHR-10154@F1","C46A5.3","WBGene00000603","col-14","C46A5.3, col-14, col14, CELE_C46A5.3",NA,NA,NA
"10154@F04","GHR-10154@F4","F10D11.1","WBGene00004931","sod-2","F10D11.1, sod-2, sdm-1, CELE_F10D11.1",NA,NA,NA
"10154@F09","GHR-10154@F9","F31E8.2","WBGene00004921","snt-1","F31E8.2, snt-1, ric-2, unc-121, syt1, syt-1, CELE_F31E8.2",NA,"Sma, Gro, Unc","Sma, Gro, Unc"
"10154@G01","GHR-10154@G1","ZK1193.1","WBGene00000608","col-19","ZK1193.1, col-19, col19, CELE_ZK1193.1",NA,NA,NA
"10154@G02","GHR-10154@G2","C25B8.3","WBGene00000786","cpr-6","C25B8.3, cpr-6, CELE_C25B8.3",NA,NA,NA
"10154@G05","GHR-10154@G5","T19C4.6","WBGene00001663","gpa-1","T19C4.6, gpa-1, CELE_T19C4.6",NA,NA,NA
"10154@G08","GHR-10154@G8","T28H11.4","WBGene00003976","pes-1","T28H11.4, pes-1, CELE_T28H11.4",NA,NA,NA
"10154@G09","GHR-10154@G9","C44B12.2","WBGene00003893","ost-1","C44B12.2, ost-1, SPARC/1, SPARC, CELE_C44B12.2",NA,NA,NA
"10154@G10","GHR-10154@G10","Y47D3A.6","WBGene00006604","tra-1","Y47D3A.6, tra-1, her-2, CELE_Y47D3A.6",NA,"Tra","Tra"
"10154@G11","GHR-10154@G11","ZK909.4","WBGene00000469","ces-2","ZK909.4, ces-2, CELE_ZK909.4",NA,NA,NA
"10154@H01","GHR-10154@H1","C27H5.5","WBGene00000613","col-36","C27H5.5, col-36, CELE_C27H5.5",NA,NA,NA
"10154@H04","GHR-10154@H4","ZK328.2","WBGene00001166","eftu-2","ZK328.2, eftu-2, eft-1, CELE_ZK328.2",NA,NA,NA
"10154@H06","GHR-10154@H6","C29E6.1","WBGene00002827","let-653","C29E6.1, let-653, CELE_C29E6.1","Lvl",NA,"Lvl"
"10154@H07","GHR-10154@H7","F09F7.2","WBGene00003371","mlc-3","F09F7.2, mlc-3, CELE_F09F7.2",NA,NA,NA
"10154@H08","GHR-10154@H8","T28H11.4","WBGene00003976","pes-1","T28H11.4, pes-1, CELE_T28H11.4",NA,NA,NA
"10192@A03","GHR-10192@A3","F32D1.2","WBGene00017982","hpo-18","F32D1.2, hpo-18, CELE_F32D1.2",NA,NA,NA
"10192@A04","GHR-10192@A4","W08A12.2","WBGene00021079",NA,"W08A12.2, CELE_W08A12.2",NA,NA,NA
"10192@A05","GHR-10192@A5","C02E7.7","WBGene00015340",NA,"C02E7.7, CELE_C02E7.7",NA,NA,NA
"10192@A07","GHR-10192@A7","B0213.5","WBGene00003768","nlp-30","B0213.5, nlp-30, CELE_B0213.5",NA,NA,NA
"10192@A08","GHR-10192@A8","R09B5.3","WBGene00000556","cnc-2","R09B5.3, cnc-2, CELE_R09B5.3",NA,NA,NA
"10192@A09","GHR-10192@A9","B0213.4","WBGene00003767","nlp-29","B0213.4, nlp-29, CELE_B0213.4",NA,NA,NA
"10192@A10","GHR-10192@A10","R09B5.8","WBGene00000557","cnc-3","R09B5.8, cnc-3, CELE_R09B5.8",NA,NA,NA
"10192@B03","GHR-10192@B3","Y46H3D.1","WBGene00021608",NA,"Y46H3D.1, CELE_Y46H3D.1",NA,NA,NA
"10192@B05","GHR-10192@B5","R09B5.9","WBGene00000558","cnc-4","R09B5.9, cnc-4, CELE_R09B5.9",NA,NA,NA
"10192@B07","GHR-10192@B7","C02E7.6","WBGene00015339",NA,"C02E7.6, CELE_C02E7.6",NA,NA,NA
"10192@B08","GHR-10192@B8","B0213.2","WBGene00003765","nlp-27","B0213.2, nlp-27, CELE_B0213.2",NA,NA,NA
"10192@B09","GHR-10192@B9","B0213.6","WBGene00003769","nlp-31","B0213.6, nlp-31, CELE_B0213.6",NA,NA,NA
"10192@B10","GHR-10192@B10","F56E10.4","WBGene00004496","rps-27","F56E10.4, rps-27, CELE_F56E10.4",NA,NA,NA
"10192@B11","GHR-10192@B11","T03D8.7","WBGene00011394",NA,"T03D8.7, CELE_T03D8.7",NA,NA,NA
"10192@C01","GHR-10192@C1","F16B4.4","WBGene00017506",NA,"F16B4.4, CELE_F16B4.4",NA,NA,NA
"10192@C03","GHR-10192@C3","C03E10.6","WBGene00007283","clec-222","C03E10.6, clec-222, CELE_C03E10.6",NA,NA,NA
"10192@C04","GHR-10192@C4","T21C9.4","WBGene00011892",NA,"T21C9.4, CELE_T21C9.4",NA,NA,NA
"10192@C05","GHR-10192@C5","F53F1.4","WBGene00009982",NA,"F53F1.4, CELE_F53F1.4",NA,NA,NA
"10192@C06","GHR-10192@C6","C24B9.9","WBGene00016052","dod-3","C24B9.9, dod-3, CELE_C24B9.9",NA,NA,NA
"10192@C09","GHR-10192@C9","C54E10.6","WBGene00008310",NA,"C54E10.6, CELE_C54E10.6",NA,NA,NA
"10192@C10","GHR-10192@C10","F36F12.7","WBGene00018098",NA,"F36F12.7, CELE_F36F12.7",NA,NA,NA
"10192@C11","GHR-10192@C11","B0024.9","WBGene00007099","trx-2","B0024.9, trx-2, CELE_B0024.9",NA,NA,NA
"10192@D03","GHR-10192@D3","F32H5.3","WBGene00009349",NA,"F32H5.3, CELE_F32H5.3",NA,NA,NA
"10192@D04","GHR-10192@D4","C43D7.8","WBGene00008070",NA,"C43D7.8, CELE_C43D7.8",NA,NA,NA
"10192@D05","GHR-10192@D5","C06C6.9","WBGene00007383",NA,"C06C6.9, CELE_C06C6.9",NA,NA,NA
"10192@D06","GHR-10192@D6","R04F11.2","WBGene00011015",NA,"R04F11.2, CELE_R04F11.2",NA,NA,NA
"10192@D08","GHR-10192@D8","ZC15.8","WBGene00004173","pqn-94","ZC15.8, pqn-94, CELE_ZC15.8",NA,NA,NA
"10192@D09","GHR-10192@D9","F59A7.2","WBGene00019090",NA,"F59A7.2, CELE_F59A7.2",NA,NA,NA
"10192@D11","GHR-10192@D11","K02E2.6","WBGene00010507",NA,"K02E2.6, CELE_K02E2.6",NA,NA,NA
"10192@D12","GHR-10192@D12","F08H9.2","WBGene00008590",NA,"F08H9.2, CELE_F08H9.2",NA,NA,NA
"10192@E02","GHR-10192@E2","E02C12.8","WBGene00017093",NA,"E02C12.8, CELE_E02C12.8",NA,NA,NA
"10192@E03","GHR-10192@E3","F25H9.7","WBGene00009139",NA,"F25H9.7, CELE_F25H9.7",NA,NA,NA
"10192@E04","GHR-10192@E4","F32B6.11",NA,NA,NA,NA,NA,NA
"10192@E06","GHR-10192@E6","T09E8.3","WBGene00011648","cni-1","T09E8.3, cni-1, cnih-2, CELE_T09E8.3",NA,NA,NA
"10192@E07","GHR-10192@E7","AC8.6","WBGene00007078",NA,"AC8.6, CELE_AC8.6",NA,NA,NA
"10192@E08","GHR-10192@E8","K03B4.2","WBGene00019354",NA,"K03B4.2, CELE_K03B4.2",NA,NA,NA
"10192@E09","GHR-10192@E9","C50B8.4","WBGene00008226",NA,"C50B8.4, CELE_C50B8.4",NA,NA,NA
"10192@E10","GHR-10192@E10","F41F3.3","WBGene00018297",NA,"F41F3.3, CELE_F41F3.3",NA,NA,NA
"10192@E11","GHR-10192@E11","T03D8.2","WBGene00011391","mrps-12","T03D8.2, mrps-12, CELE_T03D8.2",NA,NA,NA
"10192@E12","GHR-10192@E12","T09F5.9","WBGene00011668","clec-47","T09F5.9, clec-47, CELE_T09F5.9",NA,NA,NA
"10192@F01","GHR-10192@F1","W05B10.1","WBGene00012276","his-74","W05B10.1, his-74, CELE_W05B10.1",NA,NA,NA
"10192@F02","GHR-10192@F2","C29A12.4","WBGene00007799","nrx-1","C29A12.4, nrx-1, CELE_C29A12.4",NA,NA,NA
"10192@F03","GHR-10192@F3","W07B8.3",NA,NA,NA,NA,NA,NA
"10192@F04","GHR-10192@F4","T10C6.11","WBGene00001878","his-4","T10C6.11, his-4, CELE_T10C6.11",NA,NA,NA
"10192@F05","GHR-10192@F5","T01C3.6","WBGene00004485","rps-16","T01C3.6, rps-16, CELE_T01C3.6",NA,NA,NA
"10192@F06","GHR-10192@F6","F47H4.10","WBGene00004811","skr-5","F47H4.10, skr-5, CELE_F47H4.10",NA,NA,NA
"10192@F07","GHR-10192@F7","F25D1.3","WBGene00009108",NA,"F25D1.3, CELE_F25D1.3",NA,NA,NA
"10192@F08","GHR-10192@F8","F26F12.4","WBGene00017835",NA,"F26F12.4, CELE_F26F12.4",NA,NA,NA
"10192@F09","GHR-10192@F9","C56A3.2","WBGene00008341","ttr-44","C56A3.2, ttr-44, CELE_C56A3.2",NA,NA,NA
"10192@F10","GHR-10192@F10","F29G9.3","WBGene00000159","aps-1","F29G9.3, aps-1, apt-2, CELE_F29G9.3",NA,NA,NA
"10192@F11","GHR-10192@F11","Y113G7B.11","WBGene00013761",NA,"Y113G7B.11, CELE_Y113G7B.11",NA,NA,NA
"10192@F12","GHR-10192@F12","K03B4.7","WBGene00019357","cpg-8","K03B4.7, cpg-8, CELE_K03B4.7",NA,NA,NA
"10192@G02","GHR-10192@G2","H12D21.6","WBGene00010382",NA,"H12D21.6, CELE_H12D21.6",NA,NA,NA
"10192@G03","GHR-10192@G3","H19N07.3","WBGene00010407",NA,"H19N07.3, CELE_H19N07.3",NA,NA,NA
"10192@G04","GHR-10192@G4","F21H7.3","WBGene00009029",NA,"F21H7.3, CELE_F21H7.3",NA,NA,NA
"10192@G05","GHR-10192@G5","F54E2.2","WBGene00018824",NA,"F54E2.2, CELE_F54E2.2",NA,NA,NA
"10192@G06","GHR-10192@G6","ZK856.11","WBGene00014112",NA,"ZK856.11, CELE_ZK856.11",NA,NA,NA
"10192@G07","GHR-10192@G7","B0250.2","WBGene00007119","calf-1","B0250.2, calf-1, CELE_B0250.2",NA,NA,NA
"10192@G08","GHR-10192@G8","C45H4.14","WBGene00016695",NA,"C45H4.14, CELE_C45H4.14",NA,NA,NA
"10192@G09","GHR-10192@G9","T07C12.7","WBGene00011571","ttr-46","T07C12.7, ttr-46, CELE_T07C12.7",NA,NA,NA
"10192@G11","GHR-10192@G11","F55A11.1","WBGene00010075",NA,"F55A11.1, CELE_F55A11.1",NA,NA,NA
"10192@H01","GHR-10192@H1","Y37D8A.16","WBGene00012554",NA,"Y37D8A.16, CELE_Y37D8A.16",NA,NA,NA
"10192@H02","GHR-10192@H2","T27F2.4","WBGene00012101","zip-10","T27F2.4, zip-10, CELE_T27F2.4",NA,NA,NA
"10192@H03","GHR-10192@H3","C54F6.14","WBGene00001500","ftn-1","C54F6.14, ftn-1, CELE_C54F6.14",NA,NA,NA
"10192@H06","GHR-10192@H6","F17C11.4","WBGene00008915",NA,"F17C11.4, CELE_F17C11.4",NA,NA,NA
"10192@H07","GHR-10192@H7","H25P19.1","WBGene00019244",NA,"H25P19.1, CELE_H25P19.1",NA,NA,NA
"10192@H09","GHR-10192@H9","D1086.1","WBGene00008388",NA,"D1086.1, CELE_D1086.1",NA,NA,NA
"10192@H10","GHR-10192@H10","F20A1.6","WBGene00017618",NA,"F20A1.6, CELE_F20A1.6",NA,NA,NA
"10192@H11","GHR-10192@H11","D1054.10","WBGene00008377",NA,"D1054.10, CELE_D1054.10",NA,NA,NA
"11001@A01","GHR-11001@A01","T22D1.3","WBGene00020682",NA,"T22D1.3, CELE_T22D1.3",NA,NA,NA
"11001@A02","GHR-11001@A02","C44C1.4","WBGene00016643","vps-45","C44C1.4, vps-45, CELE_C44C1.4",NA,NA,NA
"11001@A03","GHR-11001@A03","C26D10.1","WBGene00004304","ran-3","C26D10.1, ran-3, CELE_C26D10.1",NA,NA,NA
"11001@A04","GHR-11001@A04","F32D1.1","WBGene00017981","figl-1","F32D1.1, figl-1, CELE_F32D1.1",NA,NA,NA
"11001@A05","GHR-11001@A05","Y65B4BR.4","WBGene00007009","wwp-1","Y65B4BR.4, wwp-1, CeWWP1, Y65B4B_11.a, CELE_Y65B4BR.4",NA,NA,NA
"11001@A06","GHR-11001@A06","Y95B8A.12","WBGene00022391",NA,"Y95B8A.12, CELE_Y95B8A.12",NA,NA,NA
"11001@A07","GHR-11001@A07","T20B12.8","WBGene00001974","hmg-4","T20B12.8, hmg-4, CELE_T20B12.8",NA,NA,NA
"11001@A08","GHR-11001@A08","C07H6.1","WBGene00002986","lig-4","C07H6.1, lig-4, CELE_C07H6.1",NA,NA,NA
"11001@A10","GHR-11001@A10","C06A1.1","WBGene00007352","cdc-48.1","C06A1.1, cdc-48.1, phi-31, CELE_C06A1.1",NA,NA,NA
"11001@A11","GHR-11001@A11","F25B5.4","WBGene00006727","ubq-1","F25B5.4, ubq-1, CELE_F25B5.4",NA,NA,NA
"11001@B01","GHR-11001@B01","C34C6.6","WBGene00004194","prx-5","C34C6.6, prx-5, CELE_C34C6.6",NA,NA,NA
"11001@B02","GHR-11001@B02","F57F5.5","WBGene00004032","pkc-1","F57F5.5, pkc-1, kin-13, ttx-4, CELE_F57F5.5",NA,NA,NA
"11001@B03","GHR-11001@B03","B0511.6","WBGene00015232",NA,"B0511.6, CELE_B0511.6",NA,NA,NA
"11001@B04","GHR-11001@B04","T09A5.2","WBGene00002216","klp-3","T09A5.2, klp-3, CELE_T09A5.2","Emb",NA,"Emb"
"11001@B05","GHR-11001@B05","K08E3.4","WBGene00010664","dbn-1","K08E3.4, dbn-1, CELE_K08E3.4",NA,NA,NA
"11001@B06","GHR-11001@B06","D2085.3","WBGene00008428",NA,"D2085.3, CELE_D2085.3",NA,NA,NA
"11001@B07","GHR-11001@B07","C47E8.5","WBGene00000915","daf-21","C47E8.5, daf-21, tax-3, CELE_C47E8.5",NA,NA,NA
"11001@B08","GHR-11001@B08","F32D1.10","WBGene00003159","mcm-7","F32D1.10, mcm-7, CELE_F32D1.10",NA,NA,NA
"11001@B09","GHR-11001@B09","R10E4.4","WBGene00003157","mcm-5","R10E4.4, mcm-5, CELE_R10E4.4",NA,NA,NA
"11001@B10","GHR-11001@B10","C25D7.6","WBGene00003155","mcm-3","C25D7.6, mcm-3, CELE_C25D7.6",NA,NA,NA
"11001@B11","GHR-11001@B11","F09G2.4","WBGene00017313","cpsf-2","F09G2.4, cpsf-2, CELE_F09G2.4",NA,NA,NA
"11001@B12","GHR-11001@B12","Y17G7B.5","WBGene00003154","mcm-2","Y17G7B.5, mcm-2, CELE_Y17G7B.5",NA,NA,NA
"11001@C01","GHR-11001@C01","T10F2.4","WBGene00020423","prp-19","T10F2.4, prp-19, CELE_T10F2.4",NA,NA,NA
"11001@C02","GHR-11001@C02","C13G3.3","WBGene00007554","pptr-2","C13G3.3, pptr-2, CELE_C13G3.3",NA,NA,NA
"11001@C03","GHR-11001@C03","H19N07.1","WBGene00010405","erfa-3","H19N07.1, erfa-3, phi-19, CELE_H19N07.1",NA,NA,NA
"11001@C04","GHR-11001@C04","W03F9.10","WBGene00021004",NA,"W03F9.10, CELE_W03F9.10",NA,NA,NA
"11001@C05","GHR-11001@C05","F30F8.8","WBGene00006386","taf-5","F30F8.8, taf-5, CELE_F30F8.8",NA,NA,NA
"11001@C06","GHR-11001@C06","F59G1.5","WBGene00004214","ptp-2","F59G1.5, ptp-2, stp-1, CELE_F59G1.5","Emb/Ste",NA,"Emb/Ste"
"11001@C07","GHR-11001@C07","W06B11.2","WBGene00004245","puf-9","W06B11.2, puf-9, CELE_W06B11.2",NA,NA,NA
"11001@C09","GHR-11001@C09","D2045.6","WBGene00000836","cul-1","D2045.6, cul-1, lin-19, CELE_D2045.6","Emb",NA,"Emb"
"11001@C10","GHR-11001@C10","C49H3.5","WBGene00003827","ntl-4","C49H3.5, ntl-4, CELE_C49H3.5",NA,NA,NA
"11001@C11","GHR-11001@C11","F33E2.6","WBGene00009362",NA,"F33E2.6, CELE_F33E2.6",NA,NA,NA
"11001@C12","GHR-11001@C12","R10E12.1","WBGene00007010","alx-1","R10E12.1, alx-1, pqn-58, YNK1, CELE_R10E12.1",NA,NA,NA
"11001@D01","GHR-11001@D01","C43E11.10","WBGene00000382","cdc-6","C43E11.10, cdc-6, CELE_C43E11.10",NA,NA,NA
"11001@D02","GHR-11001@D02","F10C1.2","WBGene00002053","ifb-1","F10C1.2, ifb-1, vab-21, Cel IF b1, CelIF b1, CELE_F10C1.2",NA,NA,NA
"11001@D03","GHR-11001@D03","D1014.3","WBGene00017016","snap-1","D1014.3, snap-1, phi-29, CELE_D1014.3",NA,NA,NA
"11001@D04","GHR-11001@D04","Y113G7A.3","WBGene00004754","sec-23","Y113G7A.3, sec-23, Y113G7A.n, CELE_Y113G7A.3",NA,NA,NA
"11001@D05","GHR-11001@D05","Y106G6H.2","WBGene00003902","pab-1","Y106G6H.2, pab-1, CELE_Y106G6H.2",NA,NA,NA
"11001@D06","GHR-11001@D06","Y53C12A.1","WBGene00006940","wee-1.3","Y53C12A.1, wee-1.3, spe-37, CELE_Y53C12A.1",NA,NA,NA
"11001@D08","GHR-11001@D08","F37E3.1","WBGene00018156","ncbp-1","F37E3.1, ncbp-1, let-608, CELE_F37E3.1",NA,NA,NA
"11001@D11","GHR-11001@D11","C50F2.3","WBGene00016837",NA,"C50F2.3, phi-4, CELE_C50F2.3",NA,NA,NA
"11001@D12","GHR-11001@D12","R06A4.4","WBGene00002076","imb-2","R06A4.4, imb-2, CELE_R06A4.4",NA,NA,NA
"11001@E01","GHR-11001@E01","C02F4.2","WBGene00006527","tax-6","C02F4.2, tax-6, pph2B-A, pph-3, cna-1, CELE_C02F4.2",NA,NA,NA
"11001@E02","GHR-11001@E02","W04A8.7","WBGene00006382","taf-1","W04A8.7, taf-1, Y71A12B.b, CELE_W04A8.7",NA,NA,NA
"11001@E03","GHR-11001@E03","Y63D3A.6","WBGene00001047","dnj-29","Y63D3A.6, dnj-29, CELE_Y63D3A.6",NA,NA,NA
"11001@E04","GHR-11001@E04","C04F6.4","WBGene00006810","unc-78","C04F6.4, unc-78, CELE_C04F6.4",NA,"Unc/Slu","Unc/Slu"
"11001@E05","GHR-11001@E05","K07C5.6","WBGene00010629",NA,"K07C5.6, CELE_K07C5.6",NA,NA,NA
"11001@E06","GHR-11001@E06","C32E8.10","WBGene00006751","unc-11","C32E8.10, unc-11, let-581, CELE_C32E8.10",NA,"Unc","Unc"
"11001@E07","GHR-11001@E07","F42A10.1","WBGene00018339","abcf-3","F42A10.1, abcf-3, CELE_F42A10.1",NA,NA,NA
"11001@E09","GHR-11001@E09","Y47G6A.11","WBGene00003422","msh-6","Y47G6A.11, msh-6, Y47G6A_242.c, CELE_Y47G6A.11",NA,NA,NA
"11001@E10","GHR-11001@E10","R144.2","WBGene00020092","pcf-11","R144.2, pcf-11, CELE_R144.2",NA,NA,NA
"11001@E11","GHR-11001@E11","C05C10.6","WBGene00007333","ufd-3","C05C10.6, ufd-3, CELE_C05C10.6",NA,NA,NA
"11001@E12","GHR-11001@E12","F15A2.6","WBGene00004719","sad-1","F15A2.6, sad-1, CELE_F15A2.6",NA,NA,NA
"11001@F01","GHR-11001@F01","C07G2.3","WBGene00000380","cct-5","C07G2.3, cct-5, CELE_C07G2.3",NA,NA,NA
"11001@F02","GHR-11001@F02","F25H5.3","WBGene00009126","pyk-1","F25H5.3, pyk-1, CELE_F25H5.3",NA,NA,NA
"11001@F03","GHR-11001@F03","F55B12.3","WBGene00004767","sel-10","F55B12.3, sel-10, egl-41, CELE_F55B12.3",NA,NA,NA
"11001@F04","GHR-11001@F04","B0395.3","WBGene00007175",NA,"B0395.3, CELE_B0395.3",NA,NA,NA
"11001@F05","GHR-11001@F05","F10B5.6","WBGene00001281","emb-27","F10B5.6, emb-27, apc-6, pod-6, CELE_F10B5.6","Emb",NA,"Emb"
"11001@F06","GHR-11001@F06","F45D3.5","WBGene00004759","sel-1","F45D3.5, sel-1, sup-25, CELE_F45D3.5",NA,NA,NA
"11001@F08","GHR-11001@F08","ZK1248.3","WBGene00001224","ehs-1","ZK1248.3, ehs-1, CELE_ZK1248.3",NA,NA,NA
"11001@F10","GHR-11001@F10","F01G10.5","WBGene00008508",NA,"F01G10.5, CELE_F01G10.5",NA,NA,NA
"11001@F11","GHR-11001@F11","C35B8.2","WBGene00006887","vav-1","C35B8.2, vav-1, CELE_C35B8.2",NA,NA,NA
"11001@F12","GHR-11001@F12","M01A8.2","WBGene00010796","clip-1","M01A8.2, clip-1, CELE_M01A8.2",NA,NA,NA
"11001@G01","GHR-11001@G01","C09G1.4","WBGene00007486",NA,"C09G1.4, CELE_C09G1.4",NA,NA,NA
"11001@G02","GHR-11001@G02","T01C8.1","WBGene00020142","aak-2","T01C8.1, aak-2, CELE_T01C8.1",NA,NA,NA
"11001@G03","GHR-11001@G03","M57.2","WBGene00019778",NA,"M57.2, CELE_M57.2",NA,NA,NA
"11001@G04","GHR-11001@G04","F18E2.2","WBGene00006512","abcf-1","F18E2.2, abcf-1, tag-167, CELE_F18E2.2",NA,NA,NA
"11001@G05","GHR-11001@G05","W07E6.4","WBGene00004188","prp-21","W07E6.4, prp-21, Ceprp21, CELE_W07E6.4",NA,NA,NA
"11001@G06","GHR-11001@G06","ZK1127.11","WBGene00001872","him-14","ZK1127.11, him-14, CELE_ZK1127.11","Emb","Him","Emb, Him"
"11001@G07","GHR-11001@G07","ZK1098.1","WBGene00014218",NA,"ZK1098.1, CELE_ZK1098.1",NA,NA,NA
"11001@G08","GHR-11001@G08","Y17G7B.15","WBGene00000565","cnt-1","Y17G7B.15, cnt-1, cnt-1A, cnt-1B, cps-2, CELE_Y17G7B.15",NA,NA,NA
