"","RNAi.well","ORF","GeneID","public.name","gene.other.ids","Nonv","Vpep","Simmer"
"11032@B11","GHR-11032@B11","Y48B6A.1","WBGene00012978",NA,"Y48B6A.1, CELE_Y48B6A.1",NA,NA,NA
"11032@B12","GHR-11032@B12","C17G10.6","WBGene00015918",NA,"C17G10.6, CELE_C17G10.6",NA,NA,NA
"11032@C01","GHR-11032@C01","C18D1.2","WBGene00007669",NA,"C18D1.2, CELE_C18D1.2",NA,NA,NA
"11032@C02","GHR-11032@C02","T09A5.3","WBGene00000046","acr-7","T09A5.3, acr-7, CELE_T09A5.3",NA,NA,NA
"11032@C03","GHR-11032@C03","F54D10.8","WBGene00018809",NA,"F54D10.8, CELE_F54D10.8",NA,NA,NA
"11032@C04","GHR-11032@C04","C06A8.1","WBGene00015512","mthf-1","C06A8.1, mthf-1, CELE_C06A8.1",NA,NA,NA
"11032@C05","GHR-11032@C05","C18E9.8","WBGene00007688",NA,"C18E9.8, CELE_C18E9.8",NA,NA,NA
"11032@C06","GHR-11032@C06","F45C12.5","WBGene00018436","fbxb-11","F45C12.5, fbxb-11, CELE_F45C12.5",NA,NA,NA
"11032@C07","GHR-11032@C07","Y54G9A.3","WBGene00002235","kqt-3","Y54G9A.3, kqt-3, CELE_Y54G9A.3",NA,NA,NA
"11032@C08","GHR-11032@C08","F36H5.8","WBGene00018106",NA,"F36H5.8, CELE_F36H5.8",NA,NA,NA
"11032@C09","GHR-11032@C09","F46F5.11","WBGene00018502",NA,"F46F5.11, CELE_F46F5.11",NA,NA,NA
"11032@C10","GHR-11032@C10","T07H3.1","WBGene00006464","bath-47","T07H3.1, bath-47, tag-113, CELE_T07H3.1",NA,NA,NA
"11032@C11","GHR-11032@C11","Y46G5A.30","WBGene00004904","snf-5","Y46G5A.30, snf-5, CELE_Y46G5A.30",NA,NA,NA
"11032@C12","GHR-11032@C12","F18A12.1","WBGene00017550","nep-6","F18A12.1, nep-6, CELE_F18A12.1",NA,NA,NA
"11032@D01","GHR-11032@D01","Y57A10A.8","WBGene00013253",NA,"Y57A10A.8, CELE_Y57A10A.8",NA,NA,NA
"11032@D02","GHR-11032@D02","Y48E1B.1","WBGene00013000","ddl-2","Y48E1B.1, ddl-2, CELE_Y48E1B.1",NA,NA,NA
"11032@D03","GHR-11032@D03","Y53F4B.18","WBGene00013164",NA,"Y53F4B.18, CELE_Y53F4B.18",NA,NA,NA
"11032@D04","GHR-11032@D04","T10B9.5","WBGene00011675","cyp-13A3","T10B9.5, cyp-13A3, CELE_T10B9.5",NA,NA,NA
"11032@D05","GHR-11032@D05","Y38E10A.17","WBGene00012595",NA,"Y38E10A.17, CELE_Y38E10A.17",NA,NA,NA
"11032@D06","GHR-11032@D06","F48A11.5","WBGene00018586","ubxn-3","F48A11.5, ubxn-3, CELE_F48A11.5",NA,NA,NA
"11032@D07","GHR-11032@D07","T08E11.8","WBGene00020364",NA,"T08E11.8, CELE_T08E11.8",NA,NA,NA
"11032@D08","GHR-11032@D08","C34C6.3","WBGene00007916",NA,"C34C6.3, CELE_C34C6.3",NA,NA,NA
"11032@D10","GHR-11032@D10","K02F6.9","WBGene00019343","nep-18","K02F6.9, nep-18, Y47G7C.b, CELE_K02F6.9",NA,NA,NA
"11032@D11","GHR-11032@D11","Y48B6A.6","WBGene00012980","efhd-1","Y48B6A.6, efhd-1, CELE_Y48B6A.6",NA,NA,NA
"11032@D12","GHR-11032@D12","Y39G8B.5","WBGene00012726",NA,"Y39G8B.5, CELE_Y39G8B.5",NA,NA,NA
"11032@E01","GHR-11032@E01","C27H5.4","WBGene00016174",NA,"C27H5.4, CELE_C27H5.4",NA,NA,NA
"11032@E02","GHR-11032@E02","T10B9.7","WBGene00011676","cyp-13A2","T10B9.7, cyp-13A2, CELE_T10B9.7",NA,NA,NA
"11032@E03","GHR-11032@E03","C32D5.6","WBGene00016314",NA,"C32D5.6, CELE_C32D5.6",NA,NA,NA
"11032@E04","GHR-11032@E04","Y46G5A.24","WBGene00012914","bcmo-1","Y46G5A.24, bcmo-1, CELE_Y46G5A.24",NA,NA,NA
"11032@E05","GHR-11032@E05","T25D3.4","WBGene00020798",NA,"T25D3.4, CELE_T25D3.4",NA,NA,NA
"11032@E06","GHR-11032@E06","C01B12.5","WBGene00015288","best-4","C01B12.5, best-4, CELE_C01B12.5",NA,NA,NA
"11032@E07","GHR-11032@E07","Y57A10A.24","WBGene00013264",NA,"Y57A10A.24, CELE_Y57A10A.24",NA,NA,NA
"11032@E08","GHR-11032@E08","R07C3.1","WBGene00019917","clec-43","R07C3.1, clec-43, CELE_R07C3.1",NA,NA,NA
"11032@E09","GHR-11032@E09","F49E12.1","WBGene00009897","skpo-1","F49E12.1, skpo-1, CELE_F49E12.1",NA,NA,NA
